Property Type,Listing Type,Bedrooms,Bathrooms,Country Code,City,Zipcode,Latitude,Longitude,Currency Native,Airbnb Property ID,Airbnb Host ID,last_seen,cleaning_fee,Reporting Month,Blocked Days,Available Days,Scraped During Month,Occupancy Rate,Reservation Days,ADR (USD),ADR (Native),Number Of Reservation,Revenue (USD),Revenue (Native)
Private room in home,private_room,1,2,GB,Brighton,BN1 6LS,50.84478,-0.14114,USD,1108776,6087059,2024-01-10,0.0,2023-10,0,31,True,27.1,7,44,35,2,308,243
Entire home,entire_home,3,2,GB,Brighton,BN1 1NE,50.81975,-0.14036,USD,1111382,6100323,2024-01-10,130.0,2023-10,0,31,True,42.6,11,217,171,0,2387,1886
Entire rental unit,entire_home,1,1,GB,Hove,BN1 5DB,50.8352,-0.15045,USD,1123403,6162784,2024-01-10,0.0,2023-10,0,31,True,81.3,21,116,92,0,2436,1924
Entire rental unit,entire_home,1,1,GB,Brighton,BN1 3AE,50.828,-0.153,USD,1129472,6194106,2024-01-10,59.0,2023-10,0,31,True,23.2,6,125,99,0,750,592
Private room in townhouse,private_room,1,1,GB,Brighton,BN1 4GB,50.82786,-0.13535,USD,1137682,6240516,2024-01-10,,2023-10,9,22,True,54.5,10,52,41,2,520,411
Entire townhouse,entire_home,5,3,GB,Hove,BN3 4FD,50.82754,-0.18834,USD,1149776,4237301,2024-01-10,78.0,2023-10,0,31,True,100,31,486,384,2,15222,12025
Entire home,entire_home,6,3,GB,Brighton,BN1 6NA,50.84527,-0.14246,USD,1157590,6087059,2024-01-10,0.0,2023-10,0,31,True,7.7,2,561,443,0,1122,886
Private room in rental unit,private_room,2,1,GB,Brighton,BN2 3AJ,50.835,-0.125,USD,1279146,3211962,2024-01-10,0.0,2023-10,6,25,True,91.2,19,40,32,0,760,600
Entire rental unit,entire_home,1,1,GB,Brighton,BN1 5JD,50.85365,-0.1595,USD,1310913,7124991,2024-01-10,39.0,2023-10,0,31,True,0.0,0,116,92,0,0,0
Private room in home,private_room,1,2,GB,Brighton,BN1 6JS,50.84481,-0.13808,USD,1311117,7125876,2024-01-10,0.0,2023-10,0,31,True,100,29,45,36,0,1305,1031
